date,c1,c2,c3,c4,c5,c6,c7,c8,h1
02Nov2020,3,2,2,4,1,2,2,2,2
03Nov2020,3,2,2,4,1,2,2,2,2
04Nov2020,3,2,2,4,1,2,2,2,2
05Nov2020,3,2,2,4,1,2,2,2,2
06Nov2020,3,3,2,4,1,1,1,2,2
07Nov2020,3,3,2,4,1,1,1,2,2
08Nov2020,3,3,2,4,1,1,1,2,2
09Nov2020,1,3,2,4,1,1,1,2,2
10Nov2020,1,2,2,4,1,1,1,2,2
11Nov2020,1,2,2,4,1,1,1,2,2
12Nov2020,1,2,2,4,1,1,1,2,2
13Nov2020,1,2,2,4,1,1,1,2,2
14Nov2020,1,2,2,4,1,1,1,2,2
15Nov2020,1,2,2,4,1,1,1,2,2
16Nov2020,1,2,2,4,1,1,1,2,2
17Nov2020,1,2,2,4,1,1,1,2,2
18Nov2020,1,2,2,4,1,1,1,2,2
19Nov2020,1,2,2,4,1,1,1,2,2
20Nov2020,1,2,2,4,1,1,2,2,2
21Nov2020,1,2,2,4,1,1,2,2,2
22Nov2020,1,2,2,4,1,1,2,2,2
23Nov2020,1,2,2,4,1,1,2,2,2
24Nov2020,1,2,2,4,1,1,2,2,2
25Nov2020,1,2,2,4,1,1,2,2,2
26Nov2020,1,2,2,4,1,1,2,2,2
27Nov2020,1,2,2,4,1,1,2,2,2
28Nov2020,1,2,2,4,1,1,2,2,2
29Nov2020,1,2,2,4,1,1,2,2,2
30Nov2020,1,2,2,4,1,1,2,2,2
01Dec2020,1,2,2,4,1,1,2,2,2
02Dec2020,1,2,2,4,1,1,2,2,2
03Dec2020,1,2,2,4,1,0,2,2,2
04Dec2020,1,2,2,4,1,0,2,2,2
05Dec2020,1,2,2,4,1,0,2,2,2
06Dec2020,1,2,2,4,1,0,2,2,2
07Dec2020,1,2,2,4,1,0,2,2,2
08Dec2020,1,2,2,4,1,1,2,2,2
09Dec2020,1,2,2,4,1,1,2,2,2
10Dec2020,1,2,2,4,1,1,2,2,2
11Dec2020,1,2,2,4,1,1,2,2,2
12Dec2020,1,2,2,4,1,1,2,2,2
13Dec2020,1,2,2,4,1,1,2,2,2
14Dec2020,3,2,2,4,1,1,2,2,2
15Dec2020,3,2,2,4,1,1,2,2,2
16Dec2020,3,2,2,4,1,1,2,2,2
17Dec2020,3,2,2,4,1,1,2,2,2
18Dec2020,3,2,2,4,1,1,2,2,2
19Dec2020,3,3,2,4,1,2,2,2,2
20Dec2020,3,3,2,4,1,2,2,2,2
21Dec2020,3,3,2,4,1,2,2,2,2
22Dec2020,3,3,2,4,1,2,2,2,2
23Dec2020,3,3,2,4,1,2,2,2,2
24Dec2020,3,3,2,4,1,2,2,3,2
25Dec2020,3,3,2,3,1,2,2,3,2
26Dec2020,3,3,2,4,1,2,2,3,2
27Dec2020,3,3,2,4,1,2,2,3,2
28Dec2020,3,3,2,4,1,2,2,3,2
29Dec2020,3,3,2,4,1,2,2,3,2
30Dec2020,3,3,2,4,1,2,2,3,2
31Dec2020,3,3,2,4,1,2,2,3,2
01Jan2021,3,3,2,4,1,2,2,3,2
02Jan2021,3,3,2,4,1,2,2,3,2
03Jan2021,3,3,2,4,1,2,2,3,2
04Jan2021,3,3,2,4,1,2,2,3,2
05Jan2021,3,3,2,4,1,2,2,3,2
06Jan2021,3,3,2,4,1,2,2,3,2
07Jan2021,3,3,2,4,1,2,2,3,2
08Jan2021,3,3,2,4,1,2,2,3,2
09Jan2021,3,3,2,4,1,2,2,3,2
10Jan2021,3,3,2,4,1,2,2,3,2
11Jan2021,3,3,2,4,1,2,2,3,2
12Jan2021,3,3,2,4,1,2,2,3,2
13Jan2021,3,3,2,4,1,2,2,3,2
14Jan2021,3,3,2,4,1,2,2,3,2
15Jan2021,3,3,2,4,1,2,2,3,2
16Jan2021,3,3,2,4,1,2,2,3,2
17Jan2021,3,3,2,4,1,2,2,3,2
18Jan2021,3,3,2,4,1,2,2,3,2
19Jan2021,3,3,2,4,1,2,2,3,2
20Jan2021,3,3,2,4,1,2,2,3,2
21Jan2021,3,3,2,4,1,2,2,3,2
22Jan2021,3,3,2,4,1,2,2,3,2
23Jan2021,3,3,2,4,1,2,2,3,2
24Jan2021,3,3,2,4,1,2,2,3,2
25Jan2021,3,3,2,4,1,2,2,3,2
26Jan2021,3,3,2,4,1,2,2,3,2
27Jan2021,3,3,2,4,1,2,2,3,2
28Jan2021,3,3,2,4,1,2,2,3,2
29Jan2021,3,3,2,4,1,2,2,3,2
30Jan2021,3,3,2,4,1,2,2,3,2
31Jan2021,3,3,2,4,1,2,2,3,2
01Feb2021,3,3,2,4,1,2,2,3,2
02Feb2021,3,3,2,4,1,2,2,3,2
03Feb2021,3,3,2,4,1,2,2,3,2
04Feb2021,3,3,2,4,1,2,2,3,2
05Feb2021,3,3,2,4,1,2,2,3,2
06Feb2021,3,3,2,4,1,2,2,3,2
07Feb2021,3,3,2,4,1,2,2,3,2
08Feb2021,3,3,2,4,1,2,2,3,2
09Feb2021,3,3,2,4,1,2,2,3,2
10Feb2021,3,3,2,4,1,2,2,3,2
11Feb2021,3,3,2,4,1,2,2,3,2
12Feb2021,3,3,2,4,1,2,2,3,2
13Feb2021,3,3,2,4,1,2,2,3,2
14Feb2021,3,3,2,4,1,2,2,3,2
15Feb2021,3,3,2,4,1,2,2,3,2
16Feb2021,3,3,2,4,1,2,2,3,2
17Feb2021,3,3,2,4,1,2,2,3,2
18Feb2021,3,3,2,4,1,2,2,3,2
19Feb2021,3,3,2,4,1,2,2,3,2
20Feb2021,3,3,2,4,1,2,2,3,2
21Feb2021,3,3,2,4,1,2,2,3,2
22Feb2021,3,3,2,4,1,2,2,3,2
23Feb2021,3,3,2,4,1,2,2,3,2
24Feb2021,3,3,2,4,1,2,2,3,2
25Feb2021,3,3,2,4,1,2,2,3,2
26Feb2021,3,3,2,4,1,2,2,3,2
27Feb2021,3,3,2,4,1,2,2,3,2
28Feb2021,3,3,2,4,1,2,2,3,2
01Mar2021,3,3,2,4,1,2,2,3,2
02Mar2021,3,3,2,4,1,2,2,3,2
03Mar2021,3,3,2,4,1,2,2,3,2
04Mar2021,3,3,2,4,1,2,2,3,2
05Mar2021,3,3,2,4,1,2,2,3,2
06Mar2021,3,3,2,4,1,2,2,3,2
07Mar2021,3,3,2,4,1,2,2,3,2
08Mar2021,2,3,2,4,1,2,2,3,2
09Mar2021,2,3,2,4,1,2,2,3,2
10Mar2021,2,3,2,4,1,2,2,3,2
11Mar2021,2,3,2,4,1,2,2,3,2
12Mar2021,2,3,2,4,1,2,2,3,2
13Mar2021,2,3,2,4,1,2,2,3,2
14Mar2021,2,3,2,4,1,2,2,3,2
15Mar2021,2,3,2,4,1,2,2,3,2
